,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE
,O3,PM10,PM2.5,PRS,RAINF,RH,SR,TOUT,WSR,WDV
,ppb,ug/m3,ug/m3,mmhg,mm/hr,%,Kw/m2,degC,KMPH,DEG
04-mar-15,3,84,22,707.4,0,97,0,16.11,3.7,301
04-mar-15,3,74,34,707.4,0,96,0,16.31,6.2,304
04-mar-15,4,77,40,707.5,0,95,0,16.33,3.1,155
04-mar-15,4,116,45,707.9,0,94,0,16.38,2.6,207
04-mar-15,4,151,43,708.5,0,92,0.013,15.61,3.5,294
04-mar-15,5,178,40,709.1,0,90,0.107,17.08,2.2,202
04-mar-15,10,192,41,709.3,0,84,0.212,19.34,2.9,99
04-mar-15,21,136,25,709.2,0,76,0.502,21.85,4.3,130
04-mar-15,35,132,38,708.8,0,71,0.667,22.02,6.5,143
04-mar-15,50,140,58,708.1,0,67,0.711,22.75,12.5,152
04-mar-15,66,178,48,707.2,0,62,0.709,24.48,11.6,153
04-mar-15,79,201,49,706.5,0,60,0.643,25.74,13.7,144
04-mar-15,85,181,26,706.2,0,59,0.397,26.54,11.6,151
04-mar-15,74,150,46,706.4,0,62,0.154,25.99,9.5,159
04-mar-15,66,177,41,706.8,0,62,0.083,25.37,10.6,142
04-mar-15,49,169,39,707.2,0,63,0.011,24.64,10.2,148
04-mar-15,19,180,52,708.1,0,67,0,23.92,5.9,206
04-mar-15,3,208,68,708.9,0,76,0,22.31,5.8,250
04-mar-15,5,304,43,709.6,0,75,0,21.97,3.5,173
04-mar-15,4,165,51,710.1,0,78,0,21.5,4.6,316
04-mar-15,14,358,48,711.1,0,78,0,20.82,14.2,162
05-mar-15,16,46,7,723.8,0,73,0.22,8.07,9.8,225
05-mar-15,20,60,11,723,0,67,0.223,8.89,4.7,239
05-mar-15,20,68,13,722.6,0,64,0.196,9.62,4.8,194
05-mar-15,24,69,10,722.7,0,61,0.121,9.19,7.5,159
05-mar-15,21,49,6,723.4,0,60,0.011,8.43,9.6,50
05-mar-15,23,52,15,723.8,0,60,0,8.16,7.9,61
05-mar-15,23,41,12,724.5,0,60,0,7.84,8.1,62
06-mar-15,20,37,11,724.7,0,65,0.031,6.1,5.4,106
06-mar-15,20,42,13,725.3,0,65,0.068,6.11,11.9,85
06-mar-15,27,60,14,725.5,0,63,0.209,6.52,13.4,104
06-mar-15,26,53,6,725.2,0,64,0.153,6.69,10.2,93
06-mar-15,28,54,19,724.9,0,64,0.177,6.91,9.4,95
06-mar-15,32,43,16,724,0,61,0.299,7.57,9.5,110
06-mar-15,34,49,10,723.3,0,59,0.327,8.29,10.7,119
06-mar-15,35,52,17,723.1,0,57,0.15,8.36,8.7,109
06-mar-15,28,43,22,722.7,0,59,0.098,8.29,9.2,123
06-mar-15,17,57,13,722.7,0,61,0.122,8.55,8.3,143
06-mar-15,16,52,21,722.2,0,58,0.039,8.47,10,139
06-mar-15,13,55,18,722.4,0,57,0,8.26,8.1,141
06-mar-15,19,55,19,722.7,0,60,0,8.08,7.9,149
06-mar-15,18,53,16,722.8,0,59,0,8.03,6.4,145
06-mar-15,19,47,15,723,0,55,0,8.16,7.2,118
06-mar-15,32,52,12,722.9,0,48,0,8.07,7.9,98
07-mar-15,27,25,11,722.4,0,57,0,7.45,9.3,81
07-mar-15,39,57,8,722.2,0,48,0,7.36,6.9,109
07-mar-15,33,21,9,722,0,52,0,7.26,6.4,157
07-mar-15,26,24,10,721.6,0,57,0,7.09,6.4,146
07-mar-15,13,35,17,721.3,0,59,0,6.87,2.8,265
07-mar-15,7,62,31,721.2,0,60,0,6.48,1.5,288
07-mar-15,5,78,28,721.1,0,62,0,6.27,1.8,237
07-mar-15,10,82,21,721.2,0,65,0.028,6.7,6.6,141
07-mar-15,8,77,18,721.4,0,67,0.102,7.16,6.1,127
07-mar-15,17,84,19,721.8,0,62,0.202,8.1,6.5,154
07-mar-15,31,84,17,722.1,0,54,0.297,8.67,8.4,112
07-mar-15,34,65,7,721.9,0,53,0.508,9.8,9.7,119
07-mar-15,41,76,14,721.2,0,48,0.524,10.82,8,100
07-mar-15,48,63,13,720.3,0,47,0.712,12.07,9.1,120
07-mar-15,48,66,18,719.6,0,47,0.669,12.72,11.1,136
07-mar-15,43,68,16,719.2,0,49,0.402,12.85,9.8,116
07-mar-15,37,57,28,718.8,0,51,0.095,12.83,9.8,98
07-mar-15,33,60,14,718.5,0,54,0.051,13.02,11.3,101
07-mar-15,31,57,7,718.7,0,57,0.029,12.46,12.6,70
07-mar-15,31,65,20,718.7,0,60,0,11.97,11.9,86
07-mar-15,29,54,7,718.5,0,64,0,11.41,10.2,77
07-mar-15,23,53,27,718.8,0,67,0,11.32,4.5,158
07-mar-15,8,71,35,719.3,0,66,0,11.18,8.6,310
07-mar-15,11,130,22,720.3,0,66,0,11.43,10.7,301
08-mar-15,17,103,26,719.5,0,65,0,11.47,4.8,176
08-mar-15,8,61,25,718.5,0,70,0,11.45,3.2,138
08-mar-15,5,65,33,718,0,71,0,11.54,3.5,191
08-mar-15,4,88,29,717.3,0,76,0,10.85,3.1,289
08-mar-15,4,73,24,716.6,0,75,0,10.83,4.7,126
08-mar-15,4,84,30,716.4,0,74,0,10.96,7.2,155
08-mar-15,11,91,28,716.6,0,74,0,11.03,8.1,186
08-mar-15,4,78,30,717,0,76,0.009,10.69,6.4,292
08-mar-15,10,159,32,717.2,0,75,0.048,11.02,5.2,195
08-mar-15,11,102,23,717.6,0,76,0.099,11.3,6.2,275
08-mar-15,18,94,20,717.6,0,73,0.268,12.71,4.8,279
08-mar-15,27,92,26,717.2,0,68,0.383,14.03,4.3,256
08-mar-15,38,98,33,716.3,0,64,0.376,15.38,5.7,246
08-mar-15,46,100,28,715.1,0,60,0.371,16.61,3.1,130
08-mar-15,51,95,28,714,0,56,0.434,18.41,3.1,132
08-mar-15,47,92,42,713.2,0,60,0.312,16.88,8.6,155
08-mar-15,42,108,38,712.9,0,63,0.185,16.32,8.8,149
08-mar-15,24,116,43,712.8,0,67,0.058,15.43,10.5,157
08-mar-15,17,109,37,712.8,0,72,0.011,14.35,10.7,153
08-mar-15,10,101,34,713.2,0,76,0,13.65,6.1,148
08-mar-15,4,100,44,714,0.09,82,0,12.86,1.9,146
08-mar-15,4,93,56,713.7,0.09,89,0,12.56,9.1,153
08-mar-15,4,82,52,713.3,0,92,0,12.48,8.4,134
08-mar-15,5,108,56,712.9,0,92,0,12.66,3.3,114
09-mar-15,5,99,52,712,0,92,0,12.77,5.3,285
09-mar-15,4,86,38,711.7,0,92,0,12.83,4,280
09-mar-15,4,70,44,711.4,0,92,0,12.7,3.1,282
09-mar-15,4,94,61,711,0.02,93,0,12.51,3,250
09-mar-15,3,91,65,711,0.08,95,0,12.3,8.2,293
09-mar-15,5,108,67,711.2,0.37,94,0.001,13.54,9.4,246
09-mar-15,10,85,35,711.7,0.07,90,0.001,14.26,10.8,297
09-mar-15,40,74,13,710,0,64,0.784,20.57,11.3,134
09-mar-15,52,98,16,709.1,0,62,0.771,21.59,12,133
09-mar-15,50,87,7,708.3,0,62,0.315,22.17,13.5,105
09-mar-15,43,88,5,708.3,0,63,0.218,21.84,15,102
09-mar-15,37,82,9,708.6,0,64,0.049,21.2,15.3,96
09-mar-15,27,76,7,709.1,0,68,0.018,20.32,12.1,88
09-mar-15,23,61,8,710.7,0,75,0,18.8,10,103
09-mar-15,23,52,9,711.1,0,79,0,18.51,9.2,89
09-mar-15,23,53,14,711.4,0,83,0,18.03,12.1,111
10-mar-15,26,51,8,711.5,0,85,0,17.58,10.3,124
10-mar-15,25,44,6,711.6,0,85,0,17.32,7.6,138
10-mar-15,23,38,7,711,0,84,0,16.94,3.6,207
10-mar-15,8,59,22,711.8,0,85,0,16.61,4.4,219
10-mar-15,8,61,10,712.3,0,86,0.004,16.45,5,226
10-mar-15,15,85,10,712.8,0,85,0.018,16.54,6.5,238
10-mar-15,20,56,7,713.5,0,84,0.028,16.42,4.3,192
10-mar-15,19,43,17,713.5,0,83,0.129,16.6,8.1,155
10-mar-15,17,51,31,713.1,0,91,0.084,15.97,9.1,150
10-mar-15,16,29,23,712.8,0.03,93,0.061,15.78,9.4,129
10-mar-15,16,57,15,712.7,0.03,93,0.028,15.72,10,133
10-mar-15,13,45,10,712.9,0.57,93,0.006,15.06,6.7,181
10-mar-15,12,33,8,713.5,0.6,94,0.008,14.58,4.4,172
10-mar-15,13,26,5,713.8,0.07,94,0.001,14.66,3.5,269
10-mar-15,13,36,8,714,0.14,93,0,14.56,4.1,160
10-mar-15,21,32,19,714.7,0.02,92,0,14.64,4.7,91
10-mar-15,17,39,14,715.2,0.01,91,0.001,14.87,8.9,106
10-mar-15,20,37,15,715.5,0.01,90,0.001,14.42,9.9,138
10-mar-15,30,24,7,715.5,0,85,0,14.41,7.9,115
11-mar-15,20,28,6,715.6,0,87,0,14.11,2.5,141
11-mar-15,24,27,10,715,0.12,87,0,13.42,4.5,201
11-mar-15,25,36,10,714.5,0,90,0.001,13.11,3.3,114
11-mar-15,23,26,13,714.5,0,88,0,13.59,1.1,154
11-mar-15,15,26,8,714.8,0,89,0,13.77,1.1,135
11-mar-15,6,35,12,715.6,0,90,0,13.83,1,111
11-mar-15,5,44,26,716.3,0,91,0.012,13.95,0.9,216
11-mar-15,6,48,20,716.9,0,90,0.04,14.44,0.9,185
11-mar-15,12,47,15,717.7,0,84,0.076,15.09,2.5,131
11-mar-15,21,45,8,717.7,0,79,0.185,16.1,2.2,163
11-mar-15,22,32,12,717.4,0,77,0.364,16.73,4.6,130
11-mar-15,35,42,8,716.9,0,68,0.477,18.92,3.5,138
11-mar-15,36,38,14,716.5,0,67,0.503,18.61,7.4,96
11-mar-15,39,55,13,716.2,0,66,0.3,18.6,7.1,64
11-mar-15,34,50,19,716.2,0,68,0.146,18.01,9.9,46
11-mar-15,32,50,12,716.3,0,68,0.067,17.64,8.9,58
11-mar-15,27,49,9,716.6,0,70,0.043,17.11,10.8,61
11-mar-15,26,49,7,716.7,0,70,0.02,16.62,6.3,69
11-mar-15,7,57,13,716.9,0,73,0,16.07,3.6,190
11-mar-15,4,83,24,717.1,0,75,0,15.28,4,291
11-mar-15,4,140,29,717.6,0,78,0,15.07,3.7,217
11-mar-15,4,204,23,717.5,0,80,0,14.62,6.3,281
11-mar-15,4,132,26,717.3,0,87,0,13.54,6,243
12-mar-15,3,108,10,717,0,85,0,13.37,6.5,309
12-mar-15,6,114,23,716.8,0,83,0,13.76,9.7,326
12-mar-15,5,76,19,716.6,0,82,0,13.38,8.3,325
12-mar-15,4,74,32,716.2,0,83,0,12.8,8.1,318
12-mar-15,3,78,27,716,0,85,0,11.79,5.6,307
12-mar-15,5,108,16,715.9,0,80,0,12.22,8,317
12-mar-15,5,81,22,716,0,78,0,12.04,9.5,319
12-mar-15,4,117,30,716.6,0,78,0.041,11.86,5.1,283
12-mar-15,6,193,12,717,0,72,0.211,15.68,2.1,182
12-mar-15,11,163,27,717,0,68,0.405,17.26,4.6,132
12-mar-15,22,165,45,716.8,0,66,0.581,16.68,6.4,151
12-mar-15,33,145,28,716.3,0,60,0.712,18.91,5.2,179
12-mar-15,50,143,19,715.3,0,52,0.788,20.77,5,141
12-mar-15,58,123,11,714.5,0,50,0.799,21.93,7,171
12-mar-15,59,99,7,713.7,0,50,0.782,21.87,8.8,143
12-mar-15,64,56,12,712.9,0,48,0.441,22.13,12.5,108
12-mar-15,64,87,13,712.8,0,51,0.232,21.45,12.1,109
12-mar-15,57,84,33,713.2,0,55,0.043,20.27,14,113
12-mar-15,40,106,31,713.7,0,58,0,19.48,10.5,125
12-mar-15,29,108,20,714.1,0,60,0,18.82,9.3,120
12-mar-15,41,117,31,714.3,0,61,0,18.38,8.8,118
12-mar-15,26,105,37,714.2,0,63,0,17.88,3.7,110
12-mar-15,21,129,34,713.6,0,62,0,17.88,6.4,138
13-mar-15,8,106,35,713.4,0,69,0,16.72,4.1,250
13-mar-15,4,196,59,713.3,0,75,0,15.55,3.1,294
13-mar-15,4,191,52,712.8,0,78,0,14.84,5.3,299
13-mar-15,7,182,36,712.6,0,79,0,14.47,2.1,208
13-mar-15,5,101,22,712.5,0,79,0,14.51,4.4,291
13-mar-15,4,112,32,713,0,79,0,14.62,5.2,321
13-mar-15,5,142,33,713.4,0,75,0,15.07,3.5,226
13-mar-15,4,173,41,713.9,0,78,0.01,14.71,1.6,181
13-mar-15,5,134,39,715,0.05,81,0.035,14.9,6.3,231
13-mar-15,12,133,46,715,0.01,82,0.086,15.3,6.4,233
13-mar-15,11,89,36,715.3,0,83,0.133,15.55,7.3,295
13-mar-15,22,95,35,715,0.01,80,0.282,15.46,7.6,309
13-mar-15,41,50,14,713.4,0,70,0.299,17.95,5,241
13-mar-15,41,53,23,713.2,0,69,0.121,17.74,4,130
13-mar-15,26,66,33,713.2,0.08,78,0.069,15.93,6.4,146
13-mar-15,21,81,43,713,0.03,83,0.192,15.53,5.1,140
13-mar-15,31,87,50,713.1,0,75,0.095,16.12,5.6,122
13-mar-15,15,61,23,713.3,0,73,0.032,16.12,1.8,202
13-mar-15,4,76,59,713.8,0,81,0,14.92,3.6,267
13-mar-15,4,111,53,714.2,0,83,0,14.67,3.5,226
13-mar-15,4,120,68,714.7,0,84,0,14.4,2.4,179
13-mar-15,4,145,75,715.1,0,86,0,14.5,3.4,250
13-mar-15,3,176,63,715.2,0,85,0,14.38,6.9,316
14-mar-15,4,121,53,715,0.07,85,0,14.06,4.4,292
14-mar-15,4,103,56,714.6,0,89,0.001,13.94,2.9,302
14-mar-15,4,101,50,714.5,0,90,0.001,13.74,0.9,203
14-mar-15,4,94,49,714.4,0,92,0.001,13.54,0.9,195
14-mar-15,4,101,47,714.3,0.05,93,0.001,13.55,3.5,209
14-mar-15,4,90,38,714.2,0.01,93,0.001,13.23,3.7,292
14-mar-15,4,94,35,714.3,0,92,0.001,12.67,1.5,165
14-mar-15,5,119,40,715,0,91,0.04,13.16,5.9,293
14-mar-15,8,107,19,715.5,0,82,0.17,15.29,3.5,289
14-mar-15,14,107,38,715.9,0,76,0.207,16.8,1.3,275
14-mar-15,15,95,47,716.2,0,74,0.169,17.65,1.3,188
14-mar-15,13,109,58,716.1,0,74,0.079,17.41,1,117
14-mar-15,26,122,36,716,0,70,0.061,16.99,4.3,157
14-mar-15,30,81,20,716,0.01,81,0.06,14.89,5.4,224
14-mar-15,21,34,33,715.7,0.01,89,0.074,14.2,5.9,238
14-mar-15,14,53,14,715.3,0,81,0.032,15.71,5.6,98
14-mar-15,12,56,8,715.9,0,78,0.007,15.66,5.2,124
14-mar-15,9,55,9,716.2,0,78,0,15.65,8.7,113
14-mar-15,10,43,7,716.4,0,76,0,15.81,9.7,112
14-mar-15,14,49,8,716.8,0,75,0,15.78,9.1,111
14-mar-15,10,42,9,717.1,0,77,0,15.52,5.4,145
14-mar-15,5,59,24,717,0,79,0,15.24,3.7,152
15-mar-15,4,73,16,717,0,80,0,15.17,3.7,165
15-mar-15,4,80,48,717.1,0,86,0,14.44,3.3,143
15-mar-15,4,98,39,716.5,0,91,0,13.95,4.8,157
15-mar-15,5,70,16,716.7,0,89,0,13.95,4,192
15-mar-15,4,68,23,716.6,0,91,0,13.72,3.6,213
15-mar-15,4,68,14,716.9,0,89,0,14.09,3.8,244
15-mar-15,3,62,17,717,0,88,0,14.16,3.5,163
15-mar-15,7,73,11,717.9,0,85,0.017,14.72,5.4,186
15-mar-15,7,56,13,718.4,0,84,0.051,15.24,2,209
15-mar-15,12,83,10,718.7,0,81,0.085,15.62,7.9,163
15-mar-15,20,66,24,718.7,0.05,83,0.158,15.3,9,153
15-mar-15,24,56,9,718.5,0,80,0.185,16.36,8.5,144
15-mar-15,31,62,6,718.4,0,74,0.086,17.19,11.7,122
15-mar-15,35,55,26,718,0,79,0.042,16.13,17.8,64
15-mar-15,35,58,21,718.1,0,83,0.008,15.59,15.9,82
15-mar-15,32,52,14,718.4,0,81,0,15.82,13.8,113
15-mar-15,30,61,18,718.8,0,82,0,15.6,13,109
15-mar-15,34,53,37,719,0,90,0,14.52,13.3,110
15-mar-15,39,36,22,719,0.03,92,0,14.08,15.5,101
15-mar-15,35,26,11,718.8,0,94,0,13.96,14,121
16-mar-15,36,21,6,718.5,0.01,95,0,13.95,13.4,120
16-mar-15,40,29,19,718.3,0,88,0,14.23,12.2,109
16-mar-15,42,47,19,718.1,0,84,0,14.35,10.6,128
16-mar-15,42,38,14,717.6,0,83,0,14.21,7.9,140
16-mar-15,44,36,6,717.5,0,81,0,14.16,6.7,110
16-mar-15,39,32,18,717.8,0,85,0,13.52,5.3,134
16-mar-15,35,43,15,718.2,0,90,0,13.13,4.9,153
16-mar-15,24,35,19,718.4,0,92,0.01,13.15,4.8,170
16-mar-15,22,49,21,718.8,0,92,0.03,13.35,4.3,153
16-mar-15,23,47,22,719.1,0,90,0.092,13.85,4.7,154
16-mar-15,31,45,16,719.1,0,87,0.152,14.53,3.4,159
16-mar-15,34,45,14,718.8,0,81,0.182,15.52,4.9,139
16-mar-15,42,56,23,718.2,0,77,0.124,15.7,8.1,117
16-mar-15,44,64,22,717.6,0,78,0.062,15.8,5.5,110
16-mar-15,35,67,34,717.1,0,81,0.047,15.46,4.8,214
16-mar-15,24,95,47,716.6,0,89,0.038,14.48,4.8,293
16-mar-15,15,98,46,716.2,0,88,0.024,14.76,6.3,276
16-mar-15,11,115,63,715.9,0,89,0.017,14.71,4.8,258
16-mar-15,8,122,54,716,0.01,90,0.004,14.52,3.4,274
16-mar-15,6,115,59,716.2,0.03,94,0,14.11,2.7,154
16-mar-15,6,98,36,716.5,0.02,95,0,14.08,2.7,287
16-mar-15,3,96,56,716.9,0.02,96,0,14.16,2.5,301
16-mar-15,4,96,53,717.3,0.02,96,0,14.23,5.5,308
16-mar-15,10,83,24,717.4,0.01,96,0,14.22,5.1,280
17-mar-15,13,58,13,717.1,0.02,97,0,14.47,4,246
17-mar-15,6,63,24,717,0.01,96,0,14.47,1.1,175
17-mar-15,4,56,29,716.7,0.01,95,0,14.43,1.3,158
17-mar-15,5,58,21,716.1,0.01,96,0.001,14.19,0.9,106
17-mar-15,4,74,27,715.7,0.01,96,0.001,14.18,0.9,173
17-mar-15,4,66,20,715.9,0.01,96,0.001,14.13,0.9,156
17-mar-15,4,65,32,716,0.02,97,0.009,14.32,2.6,137
17-mar-15,4,75,25,716.4,0,97,0.028,14.64,5.4,185
17-mar-15,4,80,26,716.9,0,96,0.05,14.83,2.2,296
17-mar-15,5,90,32,716.5,0,95,0.136,15.79,2.6,229
17-mar-15,15,100,25,716.1,0,87,0.257,16.77,7,173
17-mar-15,39,63,26,713.9,0,78,0.238,19.14,13.2,93
17-mar-15,18,91,44,714.7,0.09,87,0.032,17.92,7.2,282
17-mar-15,24,66,22,714.5,0.07,91,0.087,17.18,3.8,211
17-mar-15,15,52,22,713.9,0.03,92,0.08,17.4,6.4,138
17-mar-15,8,66,26,713.8,0,91,0.011,17.26,5.2,168
17-mar-15,4,74,34,714.1,0.09,93,0.001,16.86,3.4,230
17-mar-15,5,76,26,713.9,0.05,94,0.001,16.23,2.2,142
17-mar-15,4,58,19,713.9,0.01,92,0.001,16.77,5.8,150
17-mar-15,5,73,41,714.2,0.07,94,0.001,16.68,1.8,133
17-mar-15,4,69,26,714,0.04,95,0.001,16.37,0.9,217
18-mar-15,4,63,13,713.8,0,96,0.001,16.08,0.9,287
18-mar-15,4,49,13,713.6,0,96,0.001,15.68,0.9,213
18-mar-15,4,54,23,713.3,0,96,0.001,15.34,0.9,155
18-mar-15,4,67,16,713,0,97,0.001,15.24,0.9,227
18-mar-15,4,47,12,712.8,0,97,0.001,15.08,1.1,277
18-mar-15,4,52,13,713.1,0,97,0.001,15.03,2.3,313
18-mar-15,4,64,31,713.4,0,97,0,15.15,1.8,288
18-mar-15,4,100,34,713.7,0,97,0.017,15.2,1.7,301
18-mar-15,4,84,49,714.3,0,97,0.054,15.51,1.9,262
18-mar-15,5,68,46,714.4,0,95,0.139,16.69,1.4,214
18-mar-15,8,79,32,714.4,0,86,0.196,17.93,0.9,302
18-mar-15,20,76,12,714.2,0,80,0.306,20.25,1.4,218
18-mar-15,26,53,13,713.6,0,77,0.331,21.49,1.9,154
18-mar-15,33,48,17,712.9,0,75,0.253,22.17,1.6,164
18-mar-15,37,62,29,712.3,0,71,0.381,23.14,2.1,146
18-mar-15,40,78,35,711.7,0,74,0.313,21.71,8.9,142
18-mar-15,34,105,25,711.4,0,70,0.298,22.38,7.9,133
18-mar-15,28,103,16,711.3,0,70,0.143,22.17,6.6,116
18-mar-15,21,69,21,711.3,0,72,0.025,21.43,4.7,105
18-mar-15,14,100,41,711.6,0,79,0,20.41,7.5,112
18-mar-15,10,145,62,712,0,83,0,19.74,7.7,119
18-mar-15,8,141,52,712.3,0,86,0,19.1,4.5,148
18-mar-15,4,135,53,712.3,0,88,0,18.07,3.6,212
18-mar-15,5,226,57,712.2,0,90,0,17.33,2.6,296
19-mar-15,4,280,50,712.1,0,91,0,16.85,3.8,297
19-mar-15,4,268,46,711.9,0,92,0,16.61,4.4,302
19-mar-15,4,225,27,711.5,0,91,0,16.92,3.8,293
19-mar-15,4,159,46,711.2,0,92,0,16.82,2.9,298
19-mar-15,4,170,38,711.1,0,92,0,16.94,3.3,193
19-mar-15,4,165,39,711.1,0,92,0,17.02,3.6,292
19-mar-15,4,179,42,711.4,0,91,0.001,17.12,6.1,322
19-mar-15,4,199,52,711.7,0,90,0.047,17.29,5.3,309
19-mar-15,5,272,33,712,0,85,0.164,18.66,4.9,302
19-mar-15,11,254,40,712,0,79,0.236,20.29,4.7,288
19-mar-15,28,236,7,711.9,0,68,0.636,24.22,4.6,138
19-mar-15,42,112,17,711.4,0,65,0.743,25.45,5,231
19-mar-15,50,103,28,710.9,0,66,0.677,24.66,8.5,125
19-mar-15,55,159,57,710.5,0,68,0.479,24.07,11.3,73
19-mar-15,65,183,26,710,0,66,0.615,24.63,12.1,86
19-mar-15,54,154,26,709.8,0,68,0.583,24.13,14.2,105
19-mar-15,39,130,17,709.9,0,70,0.256,23.43,13.8,114
19-mar-15,37,103,23,710.2,0,71,0.143,23.01,12.8,113
19-mar-15,31,104,33,710.5,0,74,0.016,22.46,11.6,115
19-mar-15,13,128,32,710.9,0,79,0,21.65,9.4,116
19-mar-15,11,110,17,711.5,0,81,0,21.37,9.7,113
19-mar-15,12,110,16,712,0,83,0,20.93,9.9,110
19-mar-15,16,78,11,712.1,0,83,0,20.87,14.3,107
19-mar-15,19,63,17,712.1,0,83,0,20.83,12.7,109
20-mar-15,18,53,15,712.2,0,86,0,20.54,11.2,109
20-mar-15,14,62,30,712.3,0,88,0,20.4,4.4,113
20-mar-15,9,84,25,712.1,0,89,0,19.83,1.4,176
20-mar-15,3,87,32,711.8,0,93,0,19.26,3.6,291
20-mar-15,4,126,42,711.7,0,95,0,19.17,4.5,320
20-mar-15,3,139,40,712.3,0,95,0,18.87,4.4,289
20-mar-15,3,135,42,712.9,0,93,0.001,18.87,2.5,218
20-mar-15,4,162,47,713.2,0,92,0.044,19.16,3.1,280
20-mar-15,5,189,34,713.5,0,86,0.147,21.15,1,164
20-mar-15,10,184,37,714,0,78,0.209,23.02,2.1,228
20-mar-15,15,153,41,714.3,0,74,0.285,24.02,2.9,245
20-mar-15,18,202,59,714.1,0,73,0.249,24.29,3.3,211
20-mar-15,27,256,81,713.9,0,75,0.289,23.35,8.7,110
20-mar-15,42,199,57,713.4,0,76,0.33,23.34,10.1,103
20-mar-15,45,175,50,713.1,0,75,0.322,23.54,9.1,106
20-mar-15,59,156,39,712.9,0,70,0.335,25.04,5.5,151
20-mar-15,59,149,66,712.7,0,71,0.123,24.32,7.4,155
20-mar-15,45,162,56,712.9,0,72,0.061,23.6,11,92
20-mar-15,24,155,62,713,0,76,0.014,22.89,10.9,119
20-mar-15,17,195,58,713.4,0,78,0,22.47,9,88
20-mar-15,14,151,61,713.9,0,82,0,22,9.3,95
20-mar-15,10,146,53,714.2,0.02,85,0,21.53,8.2,107
20-mar-15,15,114,71,714.2,0.06,92,0,20.59,13.3,115
20-mar-15,11,111,31,714.1,0.03,94,0.001,20.03,5,144
21-mar-15,15,46,16,714.1,0.03,95,0.001,19.24,3.9,290
21-mar-15,21,27,8,713.3,0.01,89,0,17.39,3.8,206
21-mar-15,17,15,11,713.7,0.07,91,0.001,16.53,5.4,153
21-mar-15,8,25,5,715.3,0.01,88,0.051,16.97,3.6,179
21-mar-15,26,47,16,714.4,0,79,0.231,19.98,6.1,144
21-mar-15,25,47,30,713.4,0,80,0.374,19.59,8.7,146
21-mar-15,26,52,25,712.5,0,79,0.268,20.12,7.3,137
21-mar-15,32,73,7,712.3,0,75,0.309,21.14,5.8,97
21-mar-15,41,58,6,712.1,0,70,0.306,22.33,4.7,134
21-mar-15,36,75,38,712.1,0,73,0.097,21.49,6.8,152
21-mar-15,28,92,54,712.6,0.1,80,0.007,20.03,6.1,127
21-mar-15,11,84,59,713,0.02,89,0,19.03,5.9,149
21-mar-15,13,93,37,713.4,0,89,0,19.34,2.6,138
21-mar-15,11,85,39,713.9,0,89,0,19.19,3.7,148
21-mar-15,5,66,38,714,0,92,0,18.8,1,130
21-mar-15,4,74,41,713.8,0,94,0,18.83,1.8,143
22-mar-15,5,103,44,713.7,0,94,0,18.54,1.1,173
22-mar-15,6,107,48,713.7,0,95,0,18.48,5.1,138
22-mar-15,9,112,23,713.6,0,96,0,18.15,8.5,133
22-mar-15,13,77,20,713.5,0,96,0,17.94,7,151
22-mar-15,13,35,20,713.6,0,97,0,17.78,4.3,150
22-mar-15,6,49,23,713.7,0,97,0,17.87,2.6,190
22-mar-15,4,59,32,714.1,0,97,0.001,17.94,3.1,287
22-mar-15,5,67,51,714.5,0,97,0.027,18.11,4.9,308
22-mar-15,12,88,35,715,0,88,0.118,18.89,7.4,301
22-mar-15,18,111,34,715.1,0,81,0.336,20.75,4.4,264
22-mar-15,32,90,17,714.9,0,71,0.605,23.79,5,145
22-mar-15,47,87,25,714.5,0,63,0.751,25.52,5.8,239
22-mar-15,53,51,8,712.2,0,32,0.665,28.74,11.1,86
22-mar-15,55,39,10,712,0,41,0.547,28.66,12.7,118
22-mar-15,55,60,57,712.2,0,62,0.234,25.93,19.8,107
22-mar-15,38,91,43,712.8,0,69,0.028,24.32,18.2,105
22-mar-15,31,86,31,713.5,0,73,0,23.19,16.4,105
22-mar-15,29,75,28,714.2,0,75,0,22.68,13.3,106
22-mar-15,26,79,23,714.9,0,74,0,22.5,10.3,115
22-mar-15,18,81,32,715.2,0,77,0,22.08,6.4,124
22-mar-15,13,100,30,715.4,0,79,0,21.43,5.2,102
23-mar-15,14,72,30,715.2,0,81,0,20.53,2.5,172
23-mar-15,6,83,24,715,0,83,0,19.97,7.6,321
23-mar-15,11,131,29,714.8,0,84,0,19.56,7.8,326
23-mar-15,14,90,36,714.8,0,84,0,19.38,5.2,311
23-mar-15,7,102,46,714.7,0,86,0,18.49,2.9,267
23-mar-15,4,112,43,714.8,0,87,0,18.36,4.9,271
23-mar-15,5,143,10,715,0,76,0.002,18.41,9.9,323
23-mar-15,6,142,22,715.3,0,72,0.064,18.73,10.2,329
23-mar-15,14,186,12,715.6,0,66,0.251,20.79,7.6,297
23-mar-15,18,144,11,715.8,0,59,0.451,23.46,5.3,277
23-mar-15,36,191,12,715.7,0,51,0.621,26.06,4.2,142
23-mar-15,57,155,22,715.2,0,48,0.734,27.37,6.2,187
23-mar-15,77,181,39,714.6,0,47,0.817,26.88,11.9,120
23-mar-15,73,162,15,713.9,0,41,0.839,27.66,12.9,109
